Rank,Title,Authors,Publication_Year,Venue,Resource_Type,Visual_Content,Has_Code,Bitwidth,Topics_Summary,URL_Primary,URL_Secondary
1,A Visual Guide to Quantization,Maarten Grootendorst,2024,Blog/Newsletter,Tutorial,Yes - 50+ visuals,Yes,"FP32/16, INT8, 4-bit, 1.58-bit","Representation, symmetric/asymmetric quantization, PTQ, QAT, BitNet",https://www.maartengrootendorst.com/blog/quantization/,https://newsletter.maartengrootendorst.com/p/a-visual-guide-to-quantization
2,"GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers",Frantar et al.,2022,ICLR 2023,Academic Paper,Yes - Technical diagrams,Yes,"2-bit, 3-bit, 4-bit, ternary","One-shot quantization, second-order info, layer-wise, LLM compression",https://arxiv.org/abs/2210.17323,https://github.com/IST-DASLab/gptq
3,A White Paper on Neural Network Quantization,Nagel et al.,2021,arXiv,Academic Review,Yes - Flowcharts,Yes,"All types","Fundamentals, taxonomy, training, hardware implications",https://arxiv.org/abs/2106.08295,
4,QLoRA: Efficient Finetuning of Quantized LLMs,Dettmers & Pagnoni,2023,NeurIPS 2023,Academic Paper,Yes - Performance charts,Yes,4-bit,"Fine-tuning, LoRA, high-precision quantization, 65B parameters",https://arxiv.org/abs/2305.14314,https://github.com/artidoro/qlora
5,Learned Step Size Quantization,Esser et al.,2019,ICLR 2020,Academic Paper,Yes - Training curves,Yes,"2-bit, 3-bit, 4-bit","Learnable step-size, gradient-based training, ImageNet",https://arxiv.org/abs/1902.08153,
6,"BitNet: 1.58-bit Large Language Models",Microsoft Research,2024,Technical Publication,Industry Paper,Yes - Scaling laws,Yes,1.58-bit (ternary),"BitLinear, W1A8, extreme quantization, inference optimization",https://arxiv.org/abs/2411.05882,https://github.com/microsoft/BitNet
7,"Binarized Neural Networks: Training Deep Neural Networks with Weights and Activations Constrained to +1 or -1",Courbariaux et al.,2016,NIPS,Academic Paper,Yes - Training diagrams,Yes,1-bit,"Binary weights, gradient computation, extreme quantization",https://arxiv.org/abs/1602.02830,
8,"BinaryConnect: Training Deep Neural Networks with Binary Weights During Propagations",Courbariaux et al.,2015,NIPS,Academic Paper,Yes - Procedure diagrams,Yes,1-bit,"Binary training, forward/backward propagation, gradient accumulation",https://arxiv.org/abs/1511.00363,https://papers.nips.cc/paper/5647
9,"Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference",Bennet et al.,2017,IEEE Conference,Academic Paper,Yes - Flow diagrams,Yes,Integer-only,"Fixed-point, integer arithmetic, hardware-efficient, mobile/edge",https://arxiv.org/abs/1712.05877,https://github.com/benja263/Integer-Only-Inference-for-Deep-Learning-in-Native-C
10,Model Quantization: Concepts Methods and Why It Matters,NVIDIA Team,2023/2024,NVIDIA Blog,Industry Tutorial,Yes - Multiple charts,Yes,"FP32 to FP8","Methods, memory benefits, performance, energy efficiency, GPU optimization",https://developer.nvidia.com/blog/model-quantization-concepts-methods-and-why-it-matters/,
11,"Quantization-Aware Training (QAT): A Step-by-Step Guide with PyTorch",Weights & Biases,2023/2024,W&B Report,Tutorial,Yes - Step diagrams,Yes,Multiple,"QAT, PyTorch implementation, fake quantization, visualization",https://wandb.ai/byyoung3/Generative-AI/reports/Quantization-Aware-Training-QAT-A-step-by-step-guide-with-PyTorch--VmlldzoxMTk2NTY2Mw,
12,Quantization-Aware Training for Large Language Models with PyTorch,PyTorch Team,2024,PyTorch Blog,Official Documentation,Yes - Code examples,Yes,Multiple,"QAT, PyTorch native, fake quantization, LLM-specific",https://pytorch.org/blog/quantization-aware-training/,
13,Quantization (Hugging Face Documentation),Hugging Face Team,2023/2024,HuggingFace Docs,Official Documentation,Yes - Workflow diagrams,Yes,"GPTQ, GGUF","Data types, PTQ, QAT, Transformers integration, practical examples",https://huggingface.co/docs/optimum/concept_guides/quantization,
14,Integer-Only Inference for Deep Learning in Native C,Benjamin Harvey,2020,Towards Data Science,Tutorial,Yes - Code walkthroughs,Yes,INT8,"Post-training quantization, fixed-point, C implementation, MNIST/CIFAR",https://towardsdatascience.com/integer-only-inference-for-deep-learning-in-native-c-e57f29a20adc/,https://github.com/benja263/Integer-Only-Inference-for-Deep-Learning-in-Native-C
15,"Quantization Effects on Neural Networks Perception: How Would Quantization Change the Perceptual Field of Vision Models?",Kerkouri et al.,2024,arXiv,Academic Paper,Yes - CAM visualizations,Yes,Multiple,"Vision models, perceptual fields, class activation maps, interpretability",https://arxiv.org/abs/2403.09939,https://arxiv.org/html/2403.09939v2
