Title,ArXiv ID,Publication Date,Bit-Widths,Compression Ratio,Accuracy Loss,Models Tested,Key Metrics,URL
"KVQuant: Towards 10M Context LLM Inference",2401.18079,2024-01,"INT4, sub-4-bit",N/A,~0%,"Long-context LLMs","Target: 10M token context; Per-channel, Pre-RoPE, non-uniform, dense-sparse quantization",https://arxiv.org/abs/2401.18079
"QuantSpec: Self-Speculative Decoding with Hierarchical 4-bit KV Cache",7SHbJENgHX,2025-2026,INT4,N/A,N/A,"Speculative decoding models","Hierarchical 4-bit KV cache + weights; draft model acceleration",https://openreview.net/forum?id=7SHbJENgHX
"NVFP4 KV Cache: Optimizing Inference for Long Context",N/A,2025,FP4,"50% vs FP8",<1%,"Qwen, Llama, code models","2x context doubling; 2x batch doubling; <1% loss on LiveCodeBench, MMLU-PRO, MBPP, Ruler 64K",https://developer.nvidia.com/blog/optimizing-inference-for-long-context-and-large-batch-sizes-with-nvfp4-kv-cache/
"Speculative KV Coding: Lossless Compression",N/A,2026,"N/A (entropy coder)","4-8x lossless",0% (lossless),"Variable","Predictor model + arithmetic coder; lossless compression",https://fergusfinn.com/blog/kv-entropy-coder/
"KVSculpt: KV Cache Compression as Distillation",2603.27819,2026-03,"N/A (distillation)","3.5-4.1x KL div (vs Select+Fit)","Minimal","Qwen2.5-1.5B-Instruct (2K context)","Adaptive budget allocation; 1.3x additional reduction with adaptive",https://arxiv.org/abs/2603.27819
"Semantic Cache Distillation: Efficient State Transfer",2606.07684,2026-06,"N/A (semantic codes)","2.65x TTFT speedup","<5% F1","Multi-model pairs","Outperforms quantization on Pareto frontier; low-rank + sparse patching",https://arxiv.org/abs/2606.07684
"KV Cache Optimization Strategies (Systematic Review)",2603.20397,2026-03,"Various (review)","Review paper","Review paper","Long-context, datacenter, edge, multi-turn","Comprehensive categorization of eviction, compression, hybrid, attention mechanisms",https://arxiv.org/abs/2603.20397
"ICaRus: Identical Cache Reuse (Multi-Model)",2603.13281,2026-03,"N/A (sharing)","Memory explosion eliminated",Maintained,"Multiple task-specialized models","Cross-model KV reuse; fine-tune only decoder; eliminates redundancy",https://arxiv.org/abs/2603.13281
"KV Packet: Recomputation-Free Context-Independent",2604.13226,2026-04,"N/A (self-supervised distillation)","Near-zero FLOPs",F1 comparable,"Llama-3.1, Qwen2.5","Self-supervised distillation; soft-token adapters; bridges context discontinuities",https://arxiv.org/abs/2604.13226
"Latent Cache Flow: Model-to-Model Communication",2605.22863,2026-05,"N/A (joint K-V compression)","99% adapter reduction (13MB vs 956MB)","23% improvement vs text (different contexts)","Variable","8.5x faster than text; low-dimensional latent bottleneck; compressed translation",https://arxiv.org/abs/2605.22863
"vLLM: PagedAttention (Production System)",2309.06180,2023-09,"INT8, FP8 support","Flexible sharing","<1%","GPT-3.5, Llama variants","2-4x throughput; flexible within/across request sharing; production-ready",https://arxiv.org/abs/2309.06180
"DeepSeek-V4: Compressed Attention Architecture",N/A,2026,"Hybrid (MLA-based)","98% reduction (2% of original)","Improved","DeepSeek-V4 variants","1M token context; CSA+HCA; multi-head latent attention",https://deepseek.ai/blog/deepseek-v4-compressed-attention
"VL-Cache: Vision-Language Model Compression",2410.23317,2024-10,"N/A (sparsity+modality aware)","Model-dependent","Maintained","Vision-language models","Sparsity-aware; modality-aware; VLM-specific (not LLM migration)",https://arxiv.org/abs/2410.23317
"Prefill-as-a-Service: Cross-Datacenter",2604.15039,2026-04,"N/A (architectural)","Network-dependent","Maintained","Long-context models","Disaggregated prefill; KV transfer; selective offloading; bandwidth-aware scheduling",https://arxiv.org/abs/2604.15039
"PrefillShare: Shared Prefill Module",2602.12029,2026-02,"N/A (sharing)","Memory sharing","Maintained","Multi-LLM systems","4.5x p95 latency reduction; shared prefill across models; freezes encoder",https://arxiv.org/abs/2602.12029
